,Velo,SpinRate,HorzBreak,InducedVertBreak,InPlay
0,94.72,2375.0,3.1,18.15,0.21937667749016143
1,95.25,2033.0,11.26,14.5,0.27759752152054795
2,92.61,2389.0,11.0,21.93,0.21331533602750638
3,94.94,2360.0,6.84,18.11,0.22890775241462025
4,97.42,2214.0,16.7,13.38,0.2938272110889526
5,95.98,2495.0,11.25,17.12,0.2417071549413397
6,94.88,1998.0,15.13,15.22,0.28411677274207314
7,92.73,2049.0,1.55,18.47,0.22463317348990355
8,92.39,1955.0,18.15,7.25,0.36235922690055716
9,95.77,1976.0,10.04,14.56,0.2757160619036327
10,93.27,2076.0,11.45,11.5,0.30088239470079337
11,91.95,2465.0,9.12,21.0,0.21285705700854546
12,92.24,2391.0,0.56,13.23,0.24717745027266408
13,93.1,2130.0,3.97,16.75,0.23945785537055686
14,95.38,2262.0,7.44,17.64,0.23665537812079165
15,94.54,2116.0,13.3,8.16,0.3318650091059623
16,94.22,2325.0,8.85,17.63,0.23849962626845908
17,95.14,2451.0,5.68,18.71,0.2191885093103923
18,91.91,2073.0,13.77,14.65,0.28312537734432086
19,94.42,2232.0,8.61,19.04,0.2312184667438973
20,92.06,2184.0,-3.89,4.09,0.3130640615796
21,94.99,2317.0,6.05,13.93,0.25781769548985894
22,94.8,3009.0,10.06,17.07,0.22269128808484767
23,91.25,2077.0,13.02,13.67,0.2888078527648822
24,97.6,2080.0,16.79,-0.58,0.4214854495304015
25,95.78,2314.0,13.22,16.79,0.2553715962851116
26,95.58,2253.0,5.07,17.3,0.23342303616669985
27,92.63,2334.0,1.44,17.63,0.22088987911860128
28,89.9,2191.0,17.65,9.55,0.3320838169465005
29,96.23,2469.0,6.28,20.41,0.2087107752172731
30,90.67,2447.0,12.69,14.4,0.268810120416306
31,94.1,2261.0,11.57,20.01,0.23093960160458563
32,94.6,2014.0,2.89,14.19,0.2584957378142734
33,93.57,2291.0,14.04,14.78,0.2741635499701046
34,93.74,2200.0,8.27,17.94,0.23925522493390808
35,94.85,2660.0,6.82,20.72,0.20265372507602888
36,88.41,1876.0,14.75,13.56,0.30343037808528583
37,96.76,2353.0,8.91,17.73,0.23615047551310192
38,97.99,2077.0,14.73,15.91,0.27359843831460223
39,89.4,2169.0,17.83,8.61,0.34179025790468476
40,95.17,2305.0,4.59,20.69,0.2084577812899866
41,90.32,2068.0,13.56,7.73,0.3400833835024862
42,95.36,2191.0,12.29,9.0,0.3184181559354102
43,92.29,2591.0,-0.02,15.27,0.22501573721290646
44,91.98,2273.0,16.16,8.9,0.32888911877303423
45,95.57,2200.0,15.33,11.87,0.3033034271451398
46,93.33,2174.0,9.79,15.34,0.26290408634073037
47,92.03,2231.0,4.35,12.68,0.2667486926140301
48,95.18,2219.0,6.12,19.91,0.21964784167515158
49,92.89,2141.0,9.56,14.23,0.2719718347141971
50,97.34,2383.0,5.9,19.13,0.21837958067217147
51,92.75,2444.0,-0.37,13.54,0.240674228131669
52,96.36,2799.0,1.43,12.44,0.2396584421850965
53,88.32,2289.0,2.7,18.12,0.22345492426115562
54,89.24,2099.0,4.0,18.98,0.22659648861834236
55,94.81,1939.0,10.58,14.59,0.27868877027880484
56,94.95,2228.0,3.24,19.51,0.21537145854964848
57,91.72,2227.0,2.03,16.19,0.23579417754793494
58,92.98,2193.0,20.09,7.2,0.3585307760662193
59,95.68,2169.0,13.62,14.62,0.27793610143515896
60,90.69,2274.0,3.79,17.91,0.2271484065198051
61,94.77,1860.0,10.63,12.25,0.30026099334858447
62,93.23,2270.0,9.65,16.73,0.24907397538925435
63,95.39,2103.0,16.47,13.96,0.2936072311526594
64,92.07,2028.0,9.99,17.24,0.25508025438767
65,97.67,2792.0,12.23,10.93,0.2787183975871351
66,95.3,2155.0,5.69,19.92,0.22056085964789207
67,94.43,1910.0,3.12,12.78,0.2734482936277462
68,93.48,2333.0,13.84,11.14,0.30059092082473116
69,98.56,2132.0,13.3,10.25,0.3120909001181342
70,94.08,2041.0,4.45,10.39,0.29090074711957187
71,94.19,2448.0,6.54,20.37,0.2108331076896081
72,93.96,1892.0,7.86,16.15,0.261632913460601
